Country|City|Code|Name
JAPAN|OSAKA|OSA|OSAKA AIRPORTS
JAPAN|SAPPORO|SPK|SAPPORO AIRPORTS
SOUTH KOREA|SEOUL|SEL|SEOUL AIRPORTS
JAPAN|TOKYO|TYO|TOKYO AIRPORTS
INDONESIA|JAKARTA|JKT|JAKARTA AIRPORTS
GERMANY|BERLIN|BER|BERLIN AIRPORTS
ROMANIA|BUCHAREST|BUH|BUCHAREST AIRPORTS
UNITED KINGDOM|LONDON|LON|LONDON AIRPORTS
ITALY|MILAN|MIL|MILAN AIRPORTS
RUSSIA|MOSCOW|MOW|MOSCOW AIRPORTS
FRANCE|PARIS|PAR|PARIS AIRPORTS
ICELAND|REYKJAVIK|REK|REYKJAVIK AIRPORTS
SWEDEN|STOCKHOLM|STO|STOCKHOLM AIRPORTS
SPAIN|TENERIFE|TCI|TENERIFE AIRPORTS
UNITED STATES|CHICAGO|CHI|CHICAGO AIRPORTS
UNITED STATES|DALLAS|QDF|DALLAS AIRPORTS
UNITED STATES|DETROIT|DTT|DETROIT AIRPORTS
CANADA|EDMONTON|YEA|EDMONTON AIRPORTS
UNITED STATES|HOUSTON|QHO|HOUSTON AIRPORTS
UNITED STATES|MIAMI|QMI|MIAMI AIRPORTS
CANADA|MONTREAL|YMQ|MONTREAL AIRPORTS
CANADA|TORONTO|YTO|TORONTO AIRPORTS
UNITED STATES|WASHINGTON DC|WAS|WASHINGTON DC AIRPORTS
BRAZIL|BELO HORIZONTE|BHZ|BELO HORIZONTE AIRPORTS
ARGENTINA|BUENOS AIRES|BUE|BUENOS AIRES AIRPORTS
BRAZIL|RIO DE JANEIRO|RIO|RIO DE JANEIRO AIRPORTS
BRAZIL|SAO PAULO|SAO|SAO PAULO
UNITED STATES|BROOKNEAL|0V4|BROOKNEAL CAMPBELL COUNTY AIRPORT
UNITED STATES|SUBLETTE|19S|SUBLETTE MUNICIPAL AIRPORT
UNITED STATES|QUITMAN|23M|CLARKE COUNTY AIRPORT
UNITED STATES|LIBERTY|2A5|CAUSEY AIRPORT
UNITED STATES|SHELBYVILLE|2H0|SHELBY COUNTY AIRPORT
UNITED STATES|NEODESHA|2K7|NEODESHA MUNICIPAL AIRPORT
UNITED STATES|AUGUSTA|3AU|AUGUSTA MUNICIPAL AIRPORT
UNITED STATES|HAMPTON|4A7|ATLANTA SOUTH REGIONAL AIRPORT TARA FIELD
UNITED STATES|DELL|4U9|DELL FLIGHT STRIP
UNITED STATES|MADISON|52A|MADISON MUNICIPAL AIRPORT
UNITED STATES|EAST TROY|57C|EAST TROY MUNICIPAL AIRPORT
UNITED STATES|BALLSTON SPA|5B2|SARATOGA COUNTY AIRPORT
UNITED STATES|SALUDA|6J4|SALUDA COUNTY AIRPORT
UNITED STATES|BIG TIMBER|6S0|BIG TIMBER AIRPORT
UNITED STATES|ENGELHARD|7W6|HYDE COUNTY AIRPORT
UNITED STATES|EL DORADO SPRINGS|87K|EL DORADO SPRINGS MEMORIAL AIRPORT
UNITED STATES|PHOENIX|A39|AK-CHIN REGIONAL AIRPORT
UNITED STATES|ELLICOTT|A50|COLORADO SPRINGS EAST AIRPORT
FRENCH POLYNESIA|ANAA|AAA|ANAA AIRPORT
EGYPT|EL ARISH|AAC|EL ARISH INTERNATIONAL AIRPORT
ALGERIA|ANNABA|AAE|ANNABA AIRPORT
UNITED STATES|APALACHICOLA|AAF|APALACHICOLA REGIONAL AIRPORT
GERMANY|AACHEN|AAH|AACHEN-MERZBRUCK AIRPORT
KIRIBATI|BUARIKI|AAK|BUARIKI AIRPORT
DENMARK|AALBORG|AAL|AALBORG AIRPORT
SOUTH AFRICA|MALAMALA|AAM|MALAMALA AIRPORT
UNITED ARAB EMIRATES|AL AIN|AAN|AL AIN INTERNATIONAL AIRPORT
VENEZUELA|ANACO|AAO|ANACO AIRPORT
UNITED STATES|HOUSTON|AAP|ANDRAU AIRPARK
RUSSIA|ANAPA|AAQ|ANAPA VITYAZEVO AIRPORT
DENMARK|AARHUS|AAR|AARHUS AIRPORT
PHILIPPINES|SURALLAH|AAV|ALLAH VALLEY AIRPORT
BRAZIL|ARAXA|AAX|ROMEU ZEMA AIRPORT
YEMEN|AL GHAIDAH INTL|AAY|AL GHAIDAH INTERNATIONAL AIRPORT
GUATEMALA|QUEZALTENANGO|AAZ|QUEZALTENANGO AIRPORT
RUSSIA|ABAKAN|ABA|ABAKAN AIRPORT
IRAN|ABADAN|ABD|ABADAN AIRPORT
UNITED STATES|ALLENTOWN|ABE|LEHIGH VALLEY INTERNATIONAL AIRPORT
KIRIBATI|ABAIANG ATOLL|ABF|ABAIANG AIRPORT
AUSTRALIA|ALPHA|ABH|ALPHA AIRPORT
UNITED STATES|ABILENE|ABI|ABILENE REGIONAL AIRPORT
COTE D'IVOIRE|ABIDJAN|ABJ|PORT BOUET AIRPORT
